
U	S3029854	17F/24F	1,050萬元	1,050萬元	5個月	1房1廳	17.078坪	17.078坪	無	翔譽A+ 新北市三重區-成功路	全新屋翔譽A+景觀屋	Sun Apr 10 10:09:20 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3029854	=HYPERLINK(N23)	
U	S3029832	5F/8F	958萬元	958萬元	18年	2房2廳	23.12坪	23.12坪	無	優質華廈 新北市三重區-仁義街	仁義電梯二房--價錢超優看屋要快--獨賣	Sun Apr 10 10:09:21 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3029832	=HYPERLINK(N24)	
U	S3022906	2F/15F	1,160萬元	1,160萬元	1年	2房1廳	25.02坪	25.02坪	無	依社區名稱 新北市三重區-仁政街	(4月底前買方不收服務費)蒲陽和風	Sun Apr 10 10:09:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3022906	=HYPERLINK(N25)	
U	S3027502	13F/27F	1,198萬元	1,198萬元	18年	3房2廳	26.63坪	26.63坪	無	新北市三重區-成功路	中興橋景觀3房	Sun Apr 10 10:09:23 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3027502	=HYPERLINK(N26)	
U	S3001013	13F/17F	998萬元	998萬元	18年	3房1廳	17.11坪	17.11坪	無	台北橋花園大廈 新北市三重區-中央南路	台北橋捷運站~小家庭有河景~3房~^^~	Sun Apr 10 10:09:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001013	=HYPERLINK(N27)	
U	S2942925	5F/7F	1,180萬元	1,180萬元	19年	3房2廳	28.96坪	28.96坪	無	常勝江山 新北市三重區-仁義街	049G-重陽橋華廈	Sun Apr 10 10:09:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2942925	=HYPERLINK(N28)	
U	S2942939	1F/4F	1,100萬元	1,100萬元	39年	3房1廳	22.38坪	22.38坪	無	新北市三重區-永福街	397A-很幸福可停車1F	Sun Apr 10 10:09:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2942939	=HYPERLINK(N29)	
U	S3031203	5F/27F	998萬元	998萬元	19年	2房2廳	24.96坪	24.96坪	無	新北市三重區-成功路	集美/中興橋/電梯２房	Sun Apr 10 10:09:34 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3031203	=HYPERLINK(N30)	
U	S3047855	4F/12F	998萬元	998萬元	17年	2房2廳	22.06坪	22.06坪	無	菜寮捷運大樓 新北市三重區-重新路四段	市中心捷運邊間方正大空間~低公設15%	Sun Apr 10 10:09:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3047855	=HYPERLINK(N31)	
U	S3000367	13F/17F	998萬元	998萬元	18年	3房1廳	17.11坪	17.11坪	無	台北橋4米3 新北市三重區-中央南路	捷運台北橋站河景低總價4米3屋	Sun Apr 10 10:09:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3000367	=HYPERLINK(N32)	
