
U	13761164	2 樓/12 樓	1295 萬	1295 萬	16 年	3 房 2 廳 2 衛	44.03 坪	44.03 坪		篤行路三段X號	樹B025哇!紅不讓三房車	http://detail.soufun.com.tw/13761164	http://detail.soufun.com.tw/13761164	=HYPERLINK(N24)	
U	13772606	2 樓/6 樓	1075 萬	1075 萬	21 年	3 房 2 廳 2 衛	35.9 坪	35.9 坪		金門街X號	樹B119碧瑤江山大三房@	http://detail.soufun.com.tw/13772606	http://detail.soufun.com.tw/13772606	=HYPERLINK(N25)	
U	13772610	8 樓/13 樓	1435 萬	1435 萬	10 年	4 房 2 廳 2 衛	46.2 坪	46.2 坪		金門街X號	站B506經典四房+車位	http://detail.soufun.com.tw/13772610	http://detail.soufun.com.tw/13772610	=HYPERLINK(N26)	
U	13774303	3 樓/9 樓	1165 萬	1165 萬	20 年	3 房 2 廳 2 衛	31.38 坪	31.38 坪		溪北路X號	站B522溪洲公園景觀屋	http://detail.soufun.com.tw/13774303	http://detail.soufun.com.tw/13774303	=HYPERLINK(N27)	
U	13774381	9 樓/10 樓	1225 萬	1225 萬	33 年	3 房 2 廳 2 衛	35.09 坪	35.09 坪		館前西路X號	板058林園大樓2+1	http://detail.soufun.com.tw/13774381	http://detail.soufun.com.tw/13774381	=HYPERLINK(N28)	
U	13774397	3 樓/9 樓	1165 萬	1165 萬	20 年	3 房 2 廳 2 衛	31.38 坪	31.38 坪		溪北路X號	站B522溪洲公園景觀屋	http://detail.soufun.com.tw/13774397	http://detail.soufun.com.tw/13774397	=HYPERLINK(N29)	
U	13761211	2 樓/12 樓	1295 萬	1295 萬	16 年	3 房 2 廳 2 衛	44.03 坪	44.03 坪		篤行路三段X號	樹B025哇!紅不讓三房車	http://detail.soufun.com.tw/13761211	http://detail.soufun.com.tw/13761211	=HYPERLINK(N30)	
U	13776485	4 樓/13 樓	1435 萬	1435 萬	3 年	3 房 2 廳 2 衛	33.69 坪	33.69 坪		金門街X號	樹B068麗池香榭@	http://detail.soufun.com.tw/13776485	http://detail.soufun.com.tw/13776485	=HYPERLINK(N31)	
U	13776467	6 樓/9 樓	1055 萬	1055 萬	17 年	2 房 2 廳 2 衛	30.39 坪	30.39 坪		金門街X號	站B555青年溫馨二房	http://detail.soufun.com.tw/13776467	http://detail.soufun.com.tw/13776467	=HYPERLINK(N32)	
U	13776337	6 樓/8 樓	1295 萬	1295 萬	15 年	3 房 2 廳 2 衛	32.06 坪	32.06 坪		中正路X號	【板130中正皇家】請洽；中信新站加盟店	http://detail.soufun.com.tw/13776337	http://detail.soufun.com.tw/13776337	=HYPERLINK(N33)	
U	13770754	2 樓/8 樓	1275 萬	1275 萬	21 年	3 房 2 廳 2 衛	43.76 坪	43.76 坪		金門街X號	板046金門街華廈	http://detail.soufun.com.tw/13770754	http://detail.soufun.com.tw/13770754	=HYPERLINK(N34)	
U	1845448	9 ~ 9 / 10	1230 萬	1230 萬	33 年	3 房 2 廳 2 衛	35.1 坪	35.1 坪	無	新北市板橋區館前西路	家樂福捷運大三房	Wed Apr 13 22:14:11 PDT 2016	http://buy.housefun.com.tw/buy/house/1845448/?dmcode=201307b04paa&utm_source=AD_Yahoo&utm_medium=search_result&utm_content=Buy_search_result&utm_campaign=normal_Buy	=HYPERLINK(N35)	
U	2028658	3 ~ 3 / 15	1298 萬	1298 萬	8 年	2 房 2 廳 1 衛	30.59 坪	30.59 坪	機械	新北市板橋區五權街	威登愛戀永恆二房	Wed Apr 13 22:14:12 PDT 2016	http://buy.housefun.com.tw/buy/house/2028658/?dmcode=201307b04paa&utm_source=AD_Yahoo&utm_medium=search_result&utm_content=Buy_search_result&utm_campaign=normal_Buy	=HYPERLINK(N36)	
