
U	S3035097	12F/16F	998萬元	998萬元	20年	2房2廳	24.99坪	24.99坪	無	世電社區 新北市汐止區-福德二路	超值中興路麥當勞商圈世電精緻2房出價可談	Wed May 04 22:12:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3035097	=HYPERLINK(N22)	
U	S3035106	4F/6F	1,018萬元	1,018萬元	18年	2房2廳	21.15坪	21.15坪	無	青梅竹馬 新北市汐止區-民族二街	超值稀有夢想社區明亮邊間2房	Wed May 04 22:12:23 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3035106	=HYPERLINK(N23)	
U	S3084692	3F/19F	1,080萬元	1,080萬元	20年	2房2廳	37.97坪	37.97坪	平面式停車位，已含售金內	山青水秀 新北市汐止區-水源路二段	2036 山青水秀2+1房車位	Wed May 04 22:12:25 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084692	=HYPERLINK(N24)	
U	S3091228	4F/18F	1,198萬元	1,198萬元	16年	3房2廳	47.58坪	47.58坪	無	茄苳華城 新北市汐止區-茄苳路	忠孝東路口～車站～茄苳華城超值三房	Wed May 04 22:12:24 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3091228	=HYPERLINK(N25)	
U	S3107496	8F/9F	1,150萬元	1,150萬元	20年	2房1廳	34.915坪	34.915坪	平面式停車位，已含售金內	康寧郡 新北市汐止區-康寧街	220康寧郡兩房車位＊新婚首購族成家首選	Wed May 04 22:12:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3107496	=HYPERLINK(N26)	
U	S3107503	6F/14F	898萬元	898萬元	18年	2房2廳	29.36坪	29.36坪	無	東方山河 新北市汐止區-鄉長路一段	203東方星光2加1房＊兩房可隔成三房!	Wed May 04 22:12:29 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3107503	=HYPERLINK(N27)	
U	S3063587	12F/16F	998萬元	998萬元	19年	2房2廳	24.99坪	24.99坪	無	世電社區 新北市汐止區-福德二路	世電101景觀二房~{出價可談}	Wed May 04 22:12:30 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3063587	=HYPERLINK(N28)	
U	S3078980	22F/24F	898萬元	898萬元	20年	2房2廳	23.66坪	23.66坪	無	宏國大鎮 新北市汐止區-大同路二段	211宏國素雅二房＊超大陽台視野景觀佳	Wed May 04 22:12:31 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3078980	=HYPERLINK(N29)	
U	S3097147	12F/16F	1,188萬元	1,188萬元	17年	4房2廳	28.67坪	28.67坪	無	萬事OK 新北市汐止區-原興路	麥當勞樓上~電梯挑高4房	Wed May 04 22:12:32 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3097147	=HYPERLINK(N30)	
U	S3094804	9F/23F	1,198萬元	1,198萬元	17年	2房2廳	30.474坪	30.474坪	無	登峰天廈 新北市汐止區-大同路二段	國泰登峰天下優質2房	Wed May 04 22:12:32 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094804	=HYPERLINK(N31)	
U	S3086182	11F/14F	1,170萬元	1,170萬元	6年	2房2廳	24.57坪	24.57坪	無	新南港雙站 新北市汐止區-工建路	雙站小資絕美兩房鄰大同路-王君昊	Wed May 04 22:03:22 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3086182	=HYPERLINK(N32)	
P	S3100544	3F/5F	1,088萬元	1,088萬元	34年	3房2廳	27.53坪	27.53坪	無	新北市汐止區-弘道街	近南港展覽館白雲國小旁弘道邊間3房	Wed May 04 22:21:32 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3100544	=HYPERLINK(N33)	
U	S3088444	23F/25F	1,200萬元	1,200萬元	16年	3房2廳	33坪	33坪	無	水蓮山莊 新北市汐止區-湖前街	水蓮~無敵山景3房『房產顧問汐止小鍾』	Wed May 04 22:03:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3088444	=HYPERLINK(N34)	
U	S3100470	2F/7F	1,050萬元	1,050萬元	22年	3房2廳	27.899坪	27.899坪	無	世貿親家 新北市汐止區-樟樹一路	重新整理屋美附全新家具格局方正採光佳	Wed May 04 22:03:47 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3100470	=HYPERLINK(N35)	
U	S3072042	13F/18F	850萬元	850萬元	18年	2房2廳	19.71坪	19.71坪	無	青年守則 新北市汐止區-建成路	建成路青年守則景觀兩房近汐止火車站	Wed May 04 22:03:42 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072042	=HYPERLINK(N36)	
U	S2989004	13F/14F	950萬元	950萬元	22年	3房2廳	27.8坪	27.8坪	無	濱湖特區 新北市汐止區-湖前街	汐止Lily~實在價~湖前電梯溫馨3房	Wed May 04 22:03:49 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2989004	=HYPERLINK(N37)	
U	S3084549	2F/9F	1,190萬元	1,190萬元	10年	3房2廳	32.52坪	32.52坪	無	皇家帝寶 新北市汐止區-仁愛路	3078 皇家帝寶	Wed May 04 22:03:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084549	=HYPERLINK(N38)	
U	S3079354	2F/9F	1,190萬元	1,190萬元	11年	3房2廳	32.53坪	32.53坪	無	皇家帝寶 新北市汐止區-仁愛路	皇家帝寶~鄰交響樂東方帝寶帝寶花園	Wed May 04 22:03:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3079354	=HYPERLINK(N39)	
U	S3079351	3F/9F	899萬元	899萬元	19年	2房2廳	24.66坪	24.66坪	無	新台北人 新北市汐止區-福德二路	中興路商圈方正~大2房~鄰福德一路康寧街	Wed May 04 22:03:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3079351	=HYPERLINK(N40)	
U	S3051185	6F/15F	1,080萬元	1,080萬元	19年	2房2廳	22.32坪	22.32坪	無	仁愛巨星 新北市汐止區-福安街	巨星精緻二房	Wed May 04 22:03:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3051185	=HYPERLINK(N41)	
U	S3058418	4F/8F	950萬元	950萬元	21年	2房2廳	24.3坪	24.3坪	無	香榭巴黎 新北市汐止區-福德一路	汐止Lily~專約~香榭巴黎通風大2房	Wed May 04 22:03:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3058418	=HYPERLINK(N42)	
U	S2992147	2F/22F	1,050萬元	1,050萬元	19年	3房2廳	37.6坪	37.6坪	無	日月光 新北市汐止區-康寧街	[汐止Lily]~專約日月光3房~洽談中	Wed May 04 22:03:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2992147	=HYPERLINK(N43)	
U	S3103427	13F/13F	988萬元	988萬元	20年	2房2廳	34.04坪	34.04坪	平面式停車位，已含售金內	哈佛社區 新北市汐止區-樟樹二路	汐止河景哈佛兩房車位	Wed May 04 22:03:54 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3103427	=HYPERLINK(N44)	
U	S3038662	17F/17F	1,188萬元	1,188萬元	18年	3房2廳	32.2坪	32.2坪	平面式停車位，已含售金內	Me時代 新北市汐止區-建成路	就是要這個FU	Wed May 04 22:03:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038662	=HYPERLINK(N45)	
U	S3065912	11F/25F	1,150萬元	1,150萬元	19年	3房2廳	38.04坪	38.04坪	無	日月光 新北市汐止區-康寧街	C-28日月光景觀屋	Wed May 04 22:03:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3065912	=HYPERLINK(N46)	
U	S3072843	4F/24F	1,150萬元	1,150萬元	21年	3房2廳	31.88坪	31.88坪	無	宏國大鎮 新北市汐止區-大同路二段	汐科★宏國大鎮極品3房	Wed May 04 22:03:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072843	=HYPERLINK(N47)	
U	S3093910	5F/13F	1,088萬元	1,088萬元	22年	3房2廳	32.01坪	32.01坪	無	哈佛社區 新北市汐止區-樟樹二路	(汐止恩豪)推薦哈佛便宜免整理三房	Wed May 04 22:03:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093910	=HYPERLINK(N48)	
P	S3077499	3F/4F	888萬元	888萬元	36年	4房0廳	18.979坪	18.979坪	無	新北市汐止區-招商街	低總價汐止車站商圈~穩定收租屋	Wed May 04 22:21:33 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3077499	=HYPERLINK(N49)	
U	S3068089	3F/7F	898萬元	898萬元	23年	3房2廳	26.33坪	26.33坪	無	招商華廈 新北市汐止區-招商街	汐止火車站商圈華廈3房	Wed May 04 22:04:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068089	=HYPERLINK(N50)	
U	S3103413	4F/7F	1,190萬元	1,190萬元	21年	2房2廳	31.948坪	31.948坪	無	東築華廈 新北市汐止區-福德一路	汐止區福德一路東築華廈2+1房	Wed May 04 22:04:02 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3103413	=HYPERLINK(N51)	
U	S2952719	4F/6F	1,120萬元	1,120萬元	24年	3房2廳	35.35坪	35.35坪	無	忠孝綠洲 新北市汐止區-樟樹一路	交通方便生活機能佳屋主自售誠意出價可談	Wed May 04 22:04:02 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2952719	=HYPERLINK(N52)	
U	S3075617	1F/7F	980萬元	980萬元	22年	4房2廳	36.53坪	36.53坪	無	大慶原鄉 新北市汐止區-鄉長路二段	大慶原鄉稀有低總價一樓庭院四房~近火車站	Wed May 04 22:04:03 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075617	=HYPERLINK(N53)	
U	S3057631	5F/16F	928萬元	928萬元	21年	2房2廳	23.25坪	23.25坪	無	世電社區 新北市汐止區-福德二路	中興路麥當勞商圈世電超美二房	Wed May 04 22:04:04 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3057631	=HYPERLINK(N54)	
U	S3093842	14F/16F	1,088萬元	1,088萬元	20年	3房2廳	30.59坪	30.59坪	無	牛津社區 新北市汐止區-樟樹二路	真想賣牛津高樓河景美3房稀有釋出	Wed May 04 22:04:05 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093842	=HYPERLINK(N55)	
U	S3075496	7F/7F	1,188萬元	1,188萬元	18年	4房2廳	37.3坪	37.3坪	平面式停車位，已含售金內	中研一期 新北市汐止區-東勢街	近南港展覽館中研山莊五米景觀屋	Wed May 04 22:04:06 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075496	=HYPERLINK(N56)	
U	S3097027	15F/16F	898萬元	898萬元	19年	2房2廳	27.26坪	27.26坪	無	生活大國 新北市汐止區-福德一路	小家庭裝潢兩房	Wed May 04 22:04:06 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3097027	=HYPERLINK(N57)	
U	S3110331	6F/7F	880萬元	880萬元	19年	2房2廳	23.25坪	23.25坪	無	黎明山水 新北市汐止區-中正路	稀有華廈方正大二房~採光明亮~歡迎賞屋~	Wed May 04 22:04:07 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3110331	=HYPERLINK(N58)	
U	S3099745	13F/14F	988萬元	988萬元	7年	2房1廳	22.5坪	22.5坪	無	長堤 新北市汐止區-福德一路	長堤明亮兩房	Wed May 04 22:04:07 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3099745	=HYPERLINK(N59)	
U	S3093843	12F/20F	1,080萬元	1,080萬元	18年	3房2廳	27.16坪	27.16坪	無	台北水都 新北市汐止區-工建路	真想賣水都高樓河景小三房稀有釋出	Wed May 04 22:04:08 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3093843	=HYPERLINK(N60)	
U	S2988518	6F/7F	888萬元	888萬元	22年	3房2廳	35.95坪	35.95坪	平面式停車位，已含售金內	天池 新北市汐止區-鄉長路二段	////美美挑高精美裝潢屋////	Wed May 04 22:04:08 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2988518	=HYPERLINK(N61)	
U	S3101002	8F/15F	998萬元	998萬元	5年	3房2廳	38.14坪	38.14坪	無	森泉灣 新北市汐止區-保長路	///美美森泉灣////	Wed May 04 22:04:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3101002	=HYPERLINK(N62)	
N	S2992147	2F/22F	1,050萬元	1,050萬元	19年	3房2廳	37.6坪	37.6坪	無	日月光 新北市汐止區-康寧街	[汐止Lily]~專約日月光3房~洽談中	Wed May 04 22:21:35 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2992147	=HYPERLINK(N63)	
N	S3058418	4F/8F	950萬元	950萬元	21年	2房2廳	24.3坪	24.3坪	無	香榭巴黎 新北市汐止區-福德一路	汐止Lily~專約~香榭巴黎通風大2房	Wed May 04 22:21:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3058418	=HYPERLINK(N64)	
N	S3065912	11F/25F	1,150萬元	1,150萬元	19年	3房2廳	38.04坪	38.04坪	無	日月光 新北市汐止區-康寧街	C-28日月光景觀屋	Wed May 04 22:21:36 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3065912	=HYPERLINK(N65)	
N	S3103427	13F/13F	988萬元	988萬元	20年	2房2廳	34.04坪	34.04坪	平面式停車位，已含售金內	哈佛社區 新北市汐止區-樟樹二路	汐止河景哈佛兩房車位	Wed May 04 22:21:37 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3103427	=HYPERLINK(N66)	
N	S3038662	17F/17F	1,188萬元	1,188萬元	18年	3房2廳	32.2坪	32.2坪	平面式停車位，已含售金內	Me時代 新北市汐止區-建成路	就是要這個FU	Wed May 04 22:21:38 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3038662	=HYPERLINK(N67)	
N	S3072843	4F/24F	1,150萬元	1,150萬元	21年	3房2廳	31.88坪	31.88坪	無	宏國大鎮 新北市汐止區-大同路二段	汐科★宏國大鎮極品3房	Wed May 04 22:21:39 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072843	=HYPERLINK(N68)	
