
S	S3059206	4F/4F	998萬元	998萬元	37年	4房3廳	22.07坪	22.07坪	無	台北市文山區-福興路	捷運4房裝潢美寓	Wed May 04 15:10:44 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3059206	=HYPERLINK(N21)	Wed May 04 22:26:09 PDT 2016	
S	S3082011	4F/4F	958萬元	958萬元	39年	2房2廳	15.94坪	15.94坪	無	台北市文山區-景興路	景美國中小坪數低總價精緻二房	Wed May 04 15:10:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3082011	=HYPERLINK(N22)	Wed May 04 22:26:09 PDT 2016	
S	S3048302	4F/4F	1,088萬元	1,088萬元	43年	3房2廳	28.2坪	28.2坪	無	台北市文山區-保儀路	※※保儀路~邊間亮麗雅寓※※急售!!	Wed May 04 15:10:45 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3048302	=HYPERLINK(N23)	Wed May 04 22:26:09 PDT 2016	
S	S3094700	2F/4F	1,180萬元	1,180萬元	45年	2房0廳	19.74坪	19.74坪	無	台北市文山區-溪口街	溪口國小旁便宜、低總價近捷運的收租套房	Wed May 04 15:10:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094700	=HYPERLINK(N24)	Wed May 04 22:26:09 PDT 2016	
S	S3059156	4F/4F	998萬元	998萬元	42年	3房2廳	28.18坪	28.18坪	無	台北市文山區-保儀路	保儀邊間雅寓	Wed May 04 15:10:46 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3059156	=HYPERLINK(N25)	Wed May 04 22:26:09 PDT 2016	
S	S3061113	4F/4F	1,088萬元	1,088萬元	42年	3房2廳	28.17坪	28.17坪	無	台北市文山區-保儀路	景美女中木新商圈低總價三房公寓(文湖線)	Wed May 04 15:10:47 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3061113	=HYPERLINK(N26)	Wed May 04 22:26:09 PDT 2016	
S	S2870280	4F/4F	1,088萬元	1,088萬元	43年	3房2廳	28.17坪	28.17坪	無	國光新村 台北市文山區-保儀路	景文中學邊間美3房	Wed May 04 15:10:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2870280	=HYPERLINK(N27)	Wed May 04 22:26:09 PDT 2016	
S	S3096958	2F/7F	898萬元	898萬元	33年	1房1廳	13.91坪	13.91坪	無	萬芳社區 台北市文山區-萬安街	推!萬芳社區好停車小資宅~專約~中信小丞	Wed May 04 15:10:48 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3096958	=HYPERLINK(N28)	Wed May 04 22:26:09 PDT 2016	
S	S3099378	2F/4F	1,198萬元	1,198萬元	38年	2房2廳	21.01坪	21.01坪	無	台北市文山區-興隆路四段	近未來馬明潭站~標準兩房~中信小丞	Wed May 04 15:10:49 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3099378	=HYPERLINK(N29)	Wed May 04 22:26:09 PDT 2016	
S	S3099380	4F/4F	1,088萬元	1,088萬元	43年	3房2廳	28.17坪	28.17坪	無	國光新村 台北市文山區-保儀路	全木柵最低最最便宜三房美寓~中信小丞	Wed May 04 15:10:49 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3099380	=HYPERLINK(N30)	Wed May 04 22:26:09 PDT 2016	
S	S3109145	4F/4F	1,180萬元	1,180萬元	44年	3房2廳	28坪	28坪	無	台北市文山區-保儀路	獨家專賣售出為止.方正漂亮裝潢屋!!	Wed May 04 15:10:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3109145	=HYPERLINK(N31)	Wed May 04 22:26:09 PDT 2016	
S	S3111492	3F/4F	1,030萬元	1,030萬元	39年	3房2廳	25.409坪	25.409坪	無	台北市文山區-興隆路一段	興隆路一段上便宜公寓三樓、近捷運三房公寓	Wed May 04 15:10:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3111492	=HYPERLINK(N32)	Wed May 04 22:26:09 PDT 2016	
S	S3115463	4F/5F	1,098萬元	1,098萬元	33年	3房2廳	23.41坪	23.41坪	無	台北市文山區-辛亥路四段	低總價首購族最愛,雙捷運站旁公寓三房	Wed May 04 15:10:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3115463	=HYPERLINK(N33)	Wed May 04 22:26:09 PDT 2016	
S	S3109102	5F/5F	1,120萬元	1,120萬元	32年	3房2廳	24.17坪	24.17坪	無	御書苑 台北市文山區-木新路三段	木新裝潢美屋格局正3房2衛中信小詠	Wed May 04 15:10:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3109102	=HYPERLINK(N34)	Wed May 04 22:26:09 PDT 2016	
S	S2965736	5F/5F	1,138萬元	1,138萬元	20年	2房1廳	22.11坪	22.11坪	機械式停車位，已含售金內	佛萊堡 台北市文山區-萬安街	捷運約5分鐘電梯２房+車位※只要１１３８	Wed May 04 15:10:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2965736	=HYPERLINK(N35)	Wed May 04 22:26:09 PDT 2016	
S	S3113611	2F/12F	880萬元	880萬元	33年	2房1廳	18.2坪	18.2坪	無	萬美社區 台北市文山區-萬美街二段	萬美低總價兩房	Wed May 04 15:10:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3113611	=HYPERLINK(N36)	Wed May 04 22:26:09 PDT 2016	
