
P	S3085047	4F/5F	985萬元	985萬元	27年	3房2廳	59.51坪	59.51坪	平面式停車位，已含售金內	新北市汐止區-伯爵街	伯4-3伯爵三代3+1房車位	Tue May 03 16:22:02 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3085047	=HYPERLINK(N22)	
N	S3097250	8F/14F	888萬元	888萬元	20年	3房2廳	31.27坪	31.27坪	無	安敦凱旋 新北市汐止區-大同路三段	@@安敦景觀美滿3房##	Tue May 03 16:22:03 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3097250	=HYPERLINK(N23)	
N	S3087461	2F/11F	938萬元	938萬元	7年	3房2廳	40.13坪	40.13坪	機械式停車位，已含售金內	微風小城 新北市汐止區-保一街	近五堵火車站微風小城美三房+車位及機車位	Tue May 03 16:22:03 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3087461	=HYPERLINK(N24)	
N	S3108275	17F/24F	960萬元	960萬元	19年	2房2廳	38.767坪	38.767坪	平面式停車位，已含售金內	日月光 新北市汐止區-康寧街	浪漫日月光！兩房帶車位漂亮裝修免整理！	Tue May 03 16:22:04 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3108275	=HYPERLINK(N25)	
N	S3060384	2F/7F	950萬元	950萬元	25年	3房2廳	27.86坪	27.86坪	無	愛之屋 新北市汐止區-康寧街	前近東湖華夏三房鄰東湖路-王君昊	Tue May 03 16:22:04 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3060384	=HYPERLINK(N26)	
N	S3063883	8F/16F	1,150萬元	1,150萬元	22年	3房2廳	34.59坪	34.59坪	無	東方旺族 新北市汐止區-大同路二段	＊汐科蛋黃區電梯三房＊	Tue May 03 16:22:06 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3063883	=HYPERLINK(N27)	
N	S3060368	12F/13F	838萬元	838萬元	7年	2房1廳	18.21坪	18.21坪	無	華鎮生活家 新北市汐止區-大同路一段	華鎮生活家鄰南港-王君昊	Tue May 03 16:22:07 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3060368	=HYPERLINK(N28)	
N	S3075849	3F/12F	1,150萬元	1,150萬元	20年	3房2廳	33.54坪	33.54坪	無	摩登寶貝 新北市汐止區-福德二路	漂亮電梯3房三面採光鄰長虹中興路福德一路	Tue May 03 16:22:07 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075849	=HYPERLINK(N29)	
P	S3114376	5F/5F	950萬元	950萬元	36年	3房2廳	27.92坪	27.92坪	無	新北市汐止區-中興路	金龍國小頂加	Tue May 03 16:22:08 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3114376	=HYPERLINK(N30)	
N	S3072769	9F/18F	878萬元	878萬元	17年	3房1廳	24.07坪	24.07坪	無	青年守則 新北市汐止區-建成路	青年守則非常美非常便宜之三房	Tue May 03 16:22:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3072769	=HYPERLINK(N31)	
N	S3059414	5F/12F	1,180萬元	1,180萬元	16年	3房2廳	32.86坪	32.86坪	無	傳家寶 新北市汐止區-中興路	傳家寶精緻3房	Tue May 03 16:22:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3059414	=HYPERLINK(N32)	
N	S3062115	3F/12F	888萬元	888萬元	16年	1房2廳	21.06坪	21.06坪	無	高登屋 新北市汐止區-明峰街	(汐止雙雙)高登屋超讚美屋	Tue May 03 16:22:10 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062115	=HYPERLINK(N33)	
N	S3063800	9F/18F	880萬元	880萬元	18年	2房1廳	24.06坪	24.06坪	無	青年守則 新北市汐止區-建成路	建成路青年守則漂亮裝潢2房~建成路房屋	Tue May 03 16:22:10 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3063800	=HYPERLINK(N34)	
N	S3084912	12F/16F	1,180萬元	1,180萬元	18年	4房3廳	28.67坪	28.67坪	無	萬事OK 新北市汐止區-原興路	402麥當勞機能四房	Tue May 03 16:22:11 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3084912	=HYPERLINK(N35)	
P	S3097237	4F/5F	888萬元	888萬元	35年	4房2廳	22.45坪	22.45坪	無	新北市汐止區-水源路一段	@水源如意屋@	Tue May 03 16:22:12 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3097237	=HYPERLINK(N36)	
N	S3094159	2F/17F	888萬元	888萬元	20年	2房2廳	38.02坪	38.02坪	平面式停車位，已含售金內	劍橋社區 新北市汐止區-樟樹二路	劍橋成家2房+車位★只賣888萬	Tue May 03 16:22:12 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094159	=HYPERLINK(N37)	
